Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,8,no,no,no
Squat,100,5,no,no,no
Squat,120,5,no,no,no
Squat,120,5,no,no,no
Squat,120,8,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,8,no,no,no
Bench Press,60,8,no,no,no
Bench Press,80,5,no,no,no
Bench Press,92.5,5,no,yes,no
Bench Press,92.5,5,no,yes,no
Bench Press,92.5,8,no,yes,no
Bench Press,100,3,no,yes,no
Behind the Neck Lat Pulldowns,70,12,no,no,no
Behind the Neck Lat Pulldowns,65,12,no,no,no
Behind the Neck Lat Pulldowns,60,12,no,no,no
Seated Shoulder Press Machine,35,8,no,no,no
Seated Shoulder Press Machine,35,5,no,no,no
Seated Shoulder Press Machine,35,3,no,no,no
Seated Shoulder Press Machine,30,3,no,no,yes
Seated Shoulder Press Machine,15,5,no,no,yes
Seated Rows,80,10,no,no,no
Seated Rows,80,8,no,no,no
Seated Rows,80,8,no,no,no
Facepulls,25,12,no,no,no
Facepulls,30,12,no,no,no
Facepulls,30,12,no,no,no
