Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,5,no,no,no
Squat,100,3,no,no,no
Squat,120,2,no,no,no
Squat,140,1,no,no,no
Squat,160,1,no,yes,no
Squat,167.5,1,no,yes,no
Squat,167.5,1,no,yes,no
Squat,167.5,3,no,yes,no
Bench Press,20,12,no,no,no
Bench Press,40,8,no,no,no
Bench Press,60,8,no,no,no
Bench Press,80,5,no,no,no
Bench Press,87.5,5,no,no,no
Bench Press,87.5,5,no,no,no
Bench Press,87.5,6,no,no,no
Behind the Neck Lat Pulldowns,50,20,no,no,no
Behind the Neck Lat Pulldowns,70,8,no,no,no
Behind the Neck Lat Pulldowns,60,12,no,no,no
Seated Shoulder Press Machine,30,8,no,no,no
Seated Shoulder Press Machine,30,8,no,no,no
Seated Shoulder Press Machine,45,5,no,no,no
Seated Rows,80,8,no,no,no
Seated Rows,80,8,no,no,no
Seated Rows,60,15,no,no,no
