Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,5,no,no,no
Squat,100,3,no,no,no
Squat,130,2,no,no,no
Squat,140,1,no,no,no
Squat,150,1,no,no,no
Squat,162.5,1,no,no,no
Squat,162.5,1,no,no,no
Squat,162.5,5,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,8,no,no,no
Bench Press,60,8,no,no,no
Bench Press,75,8,no,no,no
Bench Press,85,8,no,no,no
Bench Press,85,8,no,no,no
Bench Press,85,8,no,no,no
Seated Rows,70,8,no,no,no
Seated Rows,80,8,no,no,no
Seated Rows,80,8,no,no,no
Seated Rows,80,8,no,no,no
Lateral Raises,12.5,10,no,no,no
Lateral Raises,12.5,10,no,no,no
Lateral Raises,12.5,10,no,no,no
