Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,40,10,no,no,no
Squat,60,5,no,no,no
Squat,100,3,no,no,no
Squat,140,2,no,no,no
Squat,150,2,no,no,no
Squat,157.5,2,no,no,no
Squat,157.5,2,no,no,no
Squat,157.5,2,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,10,no,no,no
Bench Press,60,8,no,no,no
Bench Press,70,8,no,no,no
Bench Press,82.5,8,no,no,no
Bench Press,82.5,8,no,no,no
Bench Press,82.5,8,no,no,no
Seated Rows,50,10,no,no,no
Seated Rows,70,8,no,no,no
Seated Rows,70,8,no,no,no
Seated Rows,60,10,no,no,no
Narrow-Grip Pulldowns,50,12,no,no,no
Narrow-Grip Pulldowns,60,10,no,no,no
Narrow-Grip Pulldowns,60,10,no,no,no
Seated Dumbell Shoulder Press,15,10,no,no,no
Seated Dumbell Shoulder Press,25,8,no,no,no
Seated Dumbell Shoulder Press,25,8,no,no,no
Seated Dumbell Shoulder Press,25,5,no,no,no
Lateral Raises,10,10,no,no,no
Lateral Raises,10,10,no,no,no
Lateral Raises,10,10,no,no,no
