Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,8,no,no,no
Squat,100,5,no,no,no
Squat,110,5,no,no,no
Squat,110,5,no,no,no
Squat,110,11,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,8,no,no,no
Bench Press,60,5,no,no,no
Bench Press,80,3,no,no,no
Bench Press,90,3,no,no,no
Bench Press,100,1,no,no,no
Bench Press,100,3,no,yes,no
Bench Press,100,3,no,yes,no
Bench Press,100,3,no,yes,no
Deadlift,60,5,no,no,no
Deadlift,100,3,no,no,no
Deadlift,140,3,no,no,no
Deadlift,155,1,no,no,no
Deadlift,175,1,no,no,no
