Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,5,no,no,no
Squat,90,3,no,no,no
Squat,110,3,no,no,no
Squat,130,3,no,no,no
Squat,140,3,no,no,no
Squat,140,3,no,no,no
Squat,140,5,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,10,no,no,no
Bench Press,60,5,no,no,no
Bench Press,80,3,no,no,no
Bench Press,90,1,no,no,no
Bench Press,100,1,no,yes,no
Bench Press,100,1,no,yes,no
Bench Press,100,1,no,yes,no
Bench Press,100,1,no,yes,no
Bench Press,100,1,no,yes,no
Lat Pulldowns,45,15,no,no,no
Lat Pulldowns,65,10,no,no,no
Lat Pulldowns,65,8,no,no,no
Lat Pulldowns,65,8,no,no,no
Incline Dumbell Bench Press,32.5,10,no,no,no
Incline Dumbell Bench Press,35,8,no,no,no
Incline Dumbell Bench Press,35,6,no,no,no
Seated Rows,50,10,no,no,no
Seated Rows,50,8,no,no,no
Seated Rows,50,8,no,no,no
Facepulls,25,10,no,no,no
Facepulls,20,15,no,no,no
