Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,60,5,no,no,no
Squat,90,3,no,no,no
Squat,110,3,no,no,no
Squat,130,3,no,no,no
Squat,142.5,3,no,no,no
Squat,142.5,3,no,no,no
Squat,142.5,3,no,no,no
Bench Press,20,20,no,no,no
Bench Press,40,10,no,no,no
Bench Press,60,5,no,no,no
Bench Press,80,3,no,no,no
Bench Press,95,1,no,no,no
Bench Press,102.5,1,no,yes,no
Bench Press,102.5,1,no,yes,no
Bench Press,102.5,1,no,yes,no
Bench Press,102.5,1,no,yes,no
Deadlift,60,5,no,no,no
Deadlift,100,3,no,no,no
Deadlift,140,3,no,no,no
Deadlift,160,3,yes,no,no
Deadlift,180,4,yes,no,no
Deadlift,190,2,yes,no,no
