Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,8,no,no,no
Squat,20,10,no,no,no
Squat,60,5,no,no,no
Squat,90,3,no,no,no
Squat,110,3,no,no,no
Squat,127.5,3,no,no,no
Squat,137.5,3,no,no,no
Squat,137.5,3,no,no,no
Squat,137.5,6,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,10,no,no,no
Bench Press,60,5,no,no,no
Bench Press,80,3,no,no,no
Bench Press,90,1,no,no,no
Bench Press,97.5,1,no,no,no
Bench Press,97.5,1,no,no,no
Bench Press,97.5,1,no,yes,no
Lat Pulldowns,45,15,no,no,no
Lat Pulldowns,60,8,no,no,no
Lat Pulldowns,60,8,no,no,no
Lat Pulldowns,60,8,no,no,no
Bent Rows,45,8,no,no,no
Bent Rows,45,8,no,no,no
Bent Rows,45,8,no,no,no
Incline Dumbell Bench Press,32.5,10,no,no,no
Incline Dumbell Bench Press,32.5,8,no,no,no
Incline Dumbell Bench Press,32.5,5,no,no,no
Facepulls,20,15,no,no,no
Facepulls,25,15,no,no,no
Facepulls,25,15,no,no,no
