Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,8,no,no,no
Squat,90,3,no,no,no
Squat,120,3,no,no,no
Squat,135,3,no,no,no
Squat,145,2,no,no,no
Squat,145,2,no,no,no
Squat,145,5,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,8,no,no,no
Bench Press,60,5,no,no,no
Bench Press,80,3,no,no,no
Bench Press,95,1,no,no,no
Bench Press,107.5,1,no,yes,no
Bench Press,107.5,1,no,yes,no
Bench Press,100,3,no,yes,no
Lat Pulldowns,60,8,no,no,no
Lat Pulldowns,65,8,no,no,no
Lat Pulldowns,65,8,no,no,no
Lat Pulldowns,55,10,no,no,no
Seated Dumbell Shoulder Press,25,10,no,no,no
Seated Dumbell Shoulder Press,30,8,no,no,no
Seated Dumbell Shoulder Press,30,7,no,no,no
Seated Dumbell Shoulder Press,30,7,no,no,no
Seated Rows,50,10,no,no,no
Seated Rows,60,8,no,no,no
Seated Rows,60,8,no,no,no
Facepulls,20,12,no,no,no
Facepulls,20,12,no,no,no
